status	path	before_bytes	before_sha256	after_bytes	after_sha256
ADDED	.github/workflows/r6-exact-windows-current-byte-closure.yml			4646	ff7452e3f61e975941c86926ed78c8f1852827cd12e43993fd9ef618d3477bc1
ADDED	P101R1_R6_PACKAGE_BUILD_RECIPE.json			654	75829238258c81ed6609f74462cefd58ba916401d5cc62327b735717aa5d9d02
ADDED	VELMERE_20_OF_20_PROGRESS_TABLE_R6_2026-08-23.md			9428	199562c5a1a687e948d6dfdb6703708ce8844340d2a59e9450d28e15b542d475
ADDED	VELMERE_MAPA_DROGI_DO_TOPKI_SWIATA_R6_2026-08-23.md			2575	9412366cdd5c5db051bb4590826f3aa0606e31e529251f9a7087a43847934011
ADDED	VELMERE_R6_CONTINUATION_EXECUTION_REPORT_2026-08-23.md			4889	112df7ce4425f018e53264d3f645c66c9a948727690dc1f20e58f108b97289cb
ADDED	artifacts/pass4992/PASS4992_SUPPLY_CHAIN_ADVERSARIAL_TEST.json			209	50eac149348a05c6dcaab2fb8b89f28e6e8821abdc82f3183e98bd0d278f3023
ADDED	artifacts/r6/VELMERE_20_OF_20_PROGRESS_TABLE_R6_2026-08-23.md			9428	199562c5a1a687e948d6dfdb6703708ce8844340d2a59e9450d28e15b542d475
ADDED	artifacts/r6/VELMERE_MAPA_DROGI_DO_TOPKI_SWIATA_R6_2026-08-23.md			2575	9412366cdd5c5db051bb4590826f3aa0606e31e529251f9a7087a43847934011
ADDED	artifacts/r6/VELMERE_R6_20_ROW_PROGRESS.json			56168	df67340c5cd0d33aa95f5d27b45fbb0981a2b7f6e041564a801d1f09998f17e4
ADDED	artifacts/r6/VELMERE_R6_CONTINUATION_EXECUTION_REPORT_2026-08-23.md			4889	112df7ce4425f018e53264d3f645c66c9a948727690dc1f20e58f108b97289cb
ADDED	artifacts/r6/VELMERE_R6_CURRENT_EXECUTION_CAMPAIGN_RUN1.json			66632	85d4d61cb69d56f42d98e60fc8558bc29cd47026bc206cade1f3f741c17d1f44
ADDED	artifacts/r6/VELMERE_R6_CURRENT_EXECUTION_CAMPAIGN_RUN2.json			66632	cc756cc39e3767210fc1a714c737ba2592f4afb3177271ff8a8f8d0ec695314b
ADDED	artifacts/r6/VELMERE_R6_CURRENT_EXECUTION_REPEATABILITY.json			16750	6ff14ac615379f0bc0312bf5ec9ad9d92121774c6526225a722431fe48e411cb
ADDED	artifacts/r6/VELMERE_R6_EXACT_PGLITE_PREPARATION.json			1624	881ec747c62105080b2bf0167c9d009748f0c98600f551316469b10e2611c3ef
ADDED	artifacts/r6/VELMERE_R6_EXACT_WINDOWS_WORKFLOW_CONTRACT.json			1112	ab4a0be89ffe048a8be062402e7d41ebbf0dcd7deb3b24152923720c51f5b5f9
ADDED	artifacts/r6/VELMERE_R6_TARGETED_NEW_EVIDENCE.json			9619	5132c5638955b4db3b20e4ff89c508a86ed0556f6987fc906eab2228082d6460
ADDED	artifacts/r6/logs/test-supabase-service-rest.stderr.log			0	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
ADDED	artifacts/r6/logs/test-supabase-service-rest.stdout.json			189	0a5424858b4d50df0c0d9c0fd5bfacac24da5a8eb4d83c8f9b456149fd1eaef2
ADDED	current-execution-out/r6/RUNTIME_ENV_CONTRACT_RECEIPT.json			690	8ebe650080773dcd1b345ab10954a63508ca28dce89060aa68c9fd0d1516b6f6
ADDED	current-execution-out/r6/run1/RUNTIME_ENV_CONTRACT_RECEIPT.json			690	8ebe650080773dcd1b345ab10954a63508ca28dce89060aa68c9fd0d1516b6f6
ADDED	current-execution-out/r6/run2/RUNTIME_ENV_CONTRACT_RECEIPT.json			690	8ebe650080773dcd1b345ab10954a63508ca28dce89060aa68c9fd0d1516b6f6
