category,query,name,depth,status,latencyMs,error,responseBytes,requestedSurface,sourceMode,resolvedSymbol,resolvedName,assetClass,score,customerVerdict,analysisDataStatus,resultConfidence,dataQuality,resultSourceCount,resultLimitations,kernelSurface,kernelDepth,kernelStatus,kernelConfidence,kernelConfidenceCap,kernelSourceCount,kernelSourceFamilies,kernelEvidenceCount,kernelFindingsCount,kernelMissingCount,kernelNextActionsCount,aiMode,aiSurface,aiDepth,aiVerdict,aiConfidence,aiFindingsCount,aiMissingDataCount,customerNarrative,aiOutputHash,aiProviderError,aiDiagnosticSourceCount,aiSignalCount,publicSourceCount,publicProviderCount,publicFactsWithValue,publicMissingFacts,accessMode,paidRequired,qualityOutputStatus,qualityPaidVerified,releaseAllowed,rawPath,searchStatus,searchResultId,searchSymbol,searchSourceCount,searchMissingCount,jsonStatus,pdfStatus,jsonError,commercialDataStatus,commercialSellReady,reportTitle,reportSymbol,tierLabel,reportSourceCount,reportMissingCount,declaredPageCount,binaryPageCount,pdfBytes,pdfHash,reportHash,pdfPath,symbol,address,reviewLevel,responseMode,customerDataStatus,customerRiskScore,customerConfidence,providerCoverage,releaseReadiness,commercialCheckoutAllowed,commercialProSellReady,commercialAdvancedSellReady,commercialTopBlocker,entitlementOk,assessmentVerdict,assessmentConfidenceCap,assessmentMissingCount,canonicalHash
shield,ADA,Cardano,advanced,422,8786,,102659,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-ada-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,ADA,Cardano,basic,200,283,,129899,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,84b1273d0fa78cf42ceb8e8680fd66438fc54096a3bf07d4b73ccf71feb3d10c,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-ada-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,ADA,Cardano,pro,422,8740,,102644,shield,crypto_market_integrity,ADA,ADA,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-ada-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,AVAX,Avalanche,advanced,422,4310,,102696,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-avax-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,AVAX,Avalanche,basic,200,286,,129955,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,f5382d4125505a6e4c441de651113af3ddc3b8b75b7ade92df70ef65b0ec9573,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-avax-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,AVAX,Avalanche,pro,422,8751,,102681,shield,crypto_market_integrity,AVAX,AVAX,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-avax-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BNB,BNB,advanced,422,8749,,101421,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-bnb-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BNB,BNB,basic,200,4744,,128826,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,6d93cd20e902857e4fc035857e269d7edb41bf8c6a9ff799c84cba67a3914969,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-bnb-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BNB,BNB,pro,422,4251,,101406,shield,crypto_market_integrity,BNB,BNB,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-bnb-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BTC,Bitcoin,advanced,422,8550,,101421,shield,crypto_market_integrity,BTC,BTC,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-btc-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BTC,Bitcoin,basic,200,207,,129241,shield,crypto_market_integrity,BTC,BTC,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,review,0,0,6,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-btc-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,BTC,Bitcoin,pro,422,8567,,101406,shield,crypto_market_integrity,BTC,BTC,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-btc-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,DOGE,Dogecoin,advanced,422,4249,,102696,shield,crypto_market_integrity,DOGE,DOGE,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-doge-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,DOGE,Dogecoin,basic,200,249,,129955,shield,crypto_market_integrity,DOGE,DOGE,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,78b8038f02097cfe35d4a18cda3652bca86fd1faa20937c8441119d732625667,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-doge-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,DOGE,Dogecoin,pro,422,8743,,102681,shield,crypto_market_integrity,DOGE,DOGE,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-doge-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,ETH,Ethereum,advanced,422,4238,,101421,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-eth-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,ETH,Ethereum,basic,200,4545,,128858,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,review,0,0,6,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-eth-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,ETH,Ethereum,pro,422,8546,,101406,shield,crypto_market_integrity,ETH,ETH,crypto,,,,0,,0,,shield,,blocked,0,,0,,,,,,,,,,,0,0,,,,,,,,,,,,,,,evaluation/raw/vlm/shield-eth-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,LINK,Chainlink,advanced,422,4263,,102696,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-link-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,LINK,Chainlink,basic,200,307,,129955,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,8cddb7c9348d3d2915b8a58155da99311a1cf1a6e8c9e2d0b6d4e92fa8970627,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-link-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,LINK,Chainlink,pro,422,8771,,102681,shield,crypto_market_integrity,LINK,LINK,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-link-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,SOL,Solana,advanced,422,8735,,101421,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-sol-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,SOL,Solana,basic,200,4749,,128873,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,8247f2e160f01d458d72917821bcca16a2997710ab87c37780ff10000ebd4dbd,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-sol-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,SOL,Solana,pro,422,4252,,101406,shield,crypto_market_integrity,SOL,SOL,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-sol-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,UNI,Uniswap,advanced,422,4245,,102025,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,1,shield,advanced,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-uni-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,UNI,Uniswap,basic,200,241,,129899,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,9,4,rules,shield,basic,review,0,0,6,,dc0e4e42b7c435ac0b103fa8a13ab40f310d1c36fbe0fba0aca66501d45900c3,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-uni-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,UNI,Uniswap,pro,422,8748,,102010,shield,crypto_market_integrity,UNI,UNI,crypto,,,,0,partial,0,1,shield,pro,blocked,0,0,0,[],4,2,9,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-uni-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,XRP,XRP,advanced,422,4304,,101421,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,advanced,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-xrp-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,XRP,XRP,basic,200,239,,128808,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,basic,blocked,0,0,0,[],4,2,5,4,rules,shield,basic,review,0,0,6,,4bc0c9f0cc83b30e9d0d7c0107fb5ba0012fdf1f34c38bea29d4fb2c860035ac,provider_response_invalid,1,0,1,1,2,13,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/shield-xrp-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shield,XRP,XRP,pro,422,8750,,101406,shield,crypto_market_integrity,XRP,XRP,crypto,,,,0,partial,0,2,shield,pro,blocked,0,0,0,[],4,2,5,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/shield-xrp-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AAPL,Apple,advanced,422,5255,,178559,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-aapl-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AAPL,Apple,basic,200,5253,,206400,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,0b543034b6a07c2be1109e2fbaf94260901b1dfa776f57198556a95699cb6033,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-aapl-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AAPL,Apple,pro,422,5257,,178544,real_markets,real_markets,AAPL,Apple Inc.,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-aapl-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,ADS.DE,Adidas,advanced,422,5286,,178418,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-ads.de-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,ADS.DE,Adidas,basic,200,5228,,206251,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,62e22b525f41921ffda69fb05d84768a51a6bdaf549e858e7ea78452aba57ce6,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-ads.de-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,ADS.DE,Adidas,pro,422,5286,,178403,real_markets,real_markets,ADS.DE,adidas AG,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-ads.de-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AMZN,Amazon,advanced,422,5277,,178165,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-amzn-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AMZN,Amazon,basic,200,5264,,205957,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,5110a07bb0c04f603faef030989514ed9feb37fe40eac530ce1b79e12f481f0e,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-amzn-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,AMZN,Amazon,pro,422,5247,,178150,real_markets,real_markets,AMZN,AMZN,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-amzn-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,GOOGL,Alphabet,advanced,422,5265,,178606,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-googl-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,GOOGL,Alphabet,basic,200,5274,,206473,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,basic,blocked,0,0,0,[],4,3,6,4,rules,real_markets,basic,review,0,0,6,,296318f39b6f1a4d10a4cbf946258bf82916e517faefc89d78c2bcb6f611518e,provider_unavailable,1,1,1,1,2,9,free_basic,False,source_gap_before_verdict,True,False,evaluation/raw/vlm/real-markets-googl-basic.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,GOOGL,Alphabet,pro,422,5253,,178591,real_markets,real_markets,GOOGL,Alphabet Inc.,stock,,,,0.1,partial,0,26,real_markets,pro,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-googl-pro.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
real-markets,MC.PA,LVMH,advanced,422,5255,,179211,real_markets,real_markets,MC.PA,LVMH Moët Hennessy Louis Vuitton SE,stock,,,,0.1,partial,0,26,real_markets,advanced,blocked,0,0,0,[],4,3,6,4,,,,,,0,,,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a,,,,,,,,,False,,False,False,evaluation/raw/vlm/real-markets-mc.pa-advanced.json.gz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
