USDT	Tether USD	0xdAC17F958D2ee523a2206206994597C13D831ec7	ethereum	basic
USDT	Tether USD	0xdAC17F958D2ee523a2206206994597C13D831ec7	ethereum	pro
USDT	Tether USD	0xdAC17F958D2ee523a2206206994597C13D831ec7	ethereum	advanced
USDC	USD Coin	0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	ethereum	basic
USDC	USD Coin	0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	ethereum	pro
USDC	USD Coin	0xA0b86991c6218b36c1d19d4a2e9eb0ce3606eb48	ethereum	advanced
WETH	Wrapped Ether	0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2	ethereum	basic
WETH	Wrapped Ether	0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2	ethereum	pro
WETH	Wrapped Ether	0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2	ethereum	advanced
DAI	Dai Stablecoin	0x6B175474E89094C44Da98b954EedeAC495271d0F	ethereum	basic
DAI	Dai Stablecoin	0x6B175474E89094C44Da98b954EedeAC495271d0F	ethereum	pro
DAI	Dai Stablecoin	0x6B175474E89094C44Da98b954EedeAC495271d0F	ethereum	advanced
UNI	Uniswap	0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984	ethereum	basic
UNI	Uniswap	0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984	ethereum	pro
UNI	Uniswap	0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984	ethereum	advanced
LINK	Chainlink	0x514910771AF9Ca656af840dff83E8264EcF986CA	ethereum	basic
LINK	Chainlink	0x514910771AF9Ca656af840dff83E8264EcF986CA	ethereum	pro
LINK	Chainlink	0x514910771AF9Ca656af840dff83E8264EcF986CA	ethereum	advanced
AAVE	Aave	0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9	ethereum	basic
AAVE	Aave	0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9	ethereum	pro
AAVE	Aave	0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2dDaE9	ethereum	advanced
SHIB	Shiba Inu	0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE	ethereum	basic
SHIB	Shiba Inu	0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE	ethereum	pro
SHIB	Shiba Inu	0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE	ethereum	advanced
MKR	Maker	0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2	ethereum	basic
MKR	Maker	0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2	ethereum	pro
MKR	Maker	0x9f8F72aA9304c8B593d555F12ef6589cC3A579A2	ethereum	advanced
LDO	Lido DAO	0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32	ethereum	basic
LDO	Lido DAO	0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32	ethereum	pro
LDO	Lido DAO	0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32	ethereum	advanced
